,app_id,app_name,neg,pos,steam_score,wilson
2731,222730,Reus,639,"2,928",82.09%,80.60%
2732,226840,Age of Wonders III,757,"3,442",81.97%,80.60%
2733,287840,TY the Tasmanian Tiger 4,24,162,87.10%,80.60%
2734,571260,THE KING OF FIGHTERS XIV STEAM EDITION,40,243,85.87%,80.60%
2735,304650,Sunless Sea,882,"3,984",81.87%,80.60%
2736,465430,Vertigo,17,125,88.03%,80.59%
2737,108800,Crysis 2 Maximum Edition,"1,165","5,202",81.70%,80.59%
2738,397550,Deus Ex: Revision,105,552,84.02%,80.56%
2739,359350,Defunct,15,114,88.37%,80.56%
2740,294140,They Breathe,154,777,83.46%,80.55%
2741,44350,GRID 2,"1,943","8,505",81.40%,80.53%
2742,395850,Bear Simulator,50,291,85.34%,80.53%
2743,340800,Unhack,31,197,86.40%,80.53%
2744,318330,Mecha Ace,10,86,89.58%,80.52%
2745,429330,Stikbold!,35,217,86.11%,80.52%
2746,421030,Catch Me,87,467,84.30%,80.52%
2747,8600,RACE 07,309,"1,469",82.62%,80.52%
2748,47870,Need for Speed: Hot Pursuit,"1,651","7,251",81.45%,80.51%
2749,17580,Dystopia,126,646,83.68%,80.48%
2750,98200,Frozen Synapse,405,"1,887",82.33%,80.47%
2751,214970,Intrusion 2,168,836,83.27%,80.46%
2752,205840,Yesterday,81,437,84.36%,80.46%
2753,363460,Spermination,53,304,85.15%,80.45%
2754,453890,Black Rose,80,432,84.38%,80.45%
2755,224580,Arma 2: DayZ Mod,"1,108","4,909",81.59%,80.44%
2756,576420,The Curse Of Yendor,1,29,96.67%,80.43%
2757,524120,Raptor Valley,1,29,96.67%,80.43%
2758,535410,CapitalShip:VR,1,29,96.67%,80.43%
2759,274900,Murder Miners,685,"3,094",81.87%,80.43%
2760,584170,Freedom Locomotion VR,8,74,90.24%,80.42%
2761,360620,Spellsworn,15,113,88.28%,80.42%
2762,8230,Sam & Max 104: Abe Lincoln Must Die!,43,255,85.57%,80.42%
2763,391490,Braveland Pirate,11,91,89.22%,80.41%
2764,58570,The Next BIG Thing,42,250,85.62%,80.41%
2765,208140,Endless Space,"1,136","5,020",81.55%,80.41%
2766,332610,Mystik Belle,13,102,88.70%,80.40%
2767,353580,Rad Rodgers: World One,13,102,88.70%,80.40%
2768,71250,Sonic Adventure DX,398,"1,847",82.27%,80.39%
2769,206690,iBomber Defense Pacific,72,393,84.52%,80.39%
2770,10150,Prototype,523,"2,386",82.02%,80.37%
2771,387860,the static speaks my name,801,"3,580",81.72%,80.37%
2772,262450,Dead Man's Draw,45,264,85.44%,80.37%
2773,576810,2 Ninjas 1 Cup,3,43,93.48%,80.35%
2774,1530,Multiwinia,58,326,84.90%,80.35%
2775,473510,Gal-X-E,3,43,93.48%,80.35%
2776,346780,Luminosity,3,43,93.48%,80.35%
2777,310510,Deathtrap,155,771,83.26%,80.33%
2778,288060,Whispering Willows,80,429,84.28%,80.33%
2779,404040,Lords of Magic: Special Edition,10,85,89.47%,80.33%
2780,233350,Sudeki,52,297,85.10%,80.33%
2781,6090,Armed and Dangerous,10,85,89.47%,80.33%
2782,418460,Rising Storm 2: Vietnam,"1,153","5,062",81.45%,80.32%
2783,489520,Minion Masters,643,"2,893",81.82%,80.32%
2784,301200,Frederic: Evil Strikes Back,92,484,84.03%,80.31%
2785,284750,Enigmatis: The Ghosts of Maple Creek,88,465,84.09%,80.30%
2786,292410,Street Racing Syndicate,278,"1,314",82.54%,80.30%
2787,323370,TERA,"2,181","9,371",81.12%,80.29%
2788,278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,659,"2,954",81.76%,80.28%
2789,362160,Sydney's World,2,36,94.74%,80.27%
2790,585950,WayOut 2: Hex,2,36,94.74%,80.27%
2791,562210,Ancient Rus,9,79,89.77%,80.26%
2792,440090,Heroes of the West,38,228,85.71%,80.24%
2793,284950,Pixel Puzzles: Japan,378,"1,742",82.17%,80.23%
2794,360830,Yooka-Laylee,304,"1,420",82.37%,80.22%
2795,380150,STASIS,144,716,83.26%,80.21%
2796,351490,Intergalactic Bubbles,171,836,83.02%,80.20%
2797,244810,Foul Play,86,453,84.04%,80.20%
2798,379420,Polynomial 2,8,73,90.12%,80.20%
2799,501180,Acan's Call: Act 1,32,198,86.09%,80.20%
2800,396860,Over The Hills And Far Away,17,122,87.77%,80.19%
2801,325930,Viking Squad,17,122,87.77%,80.19%
2802,535400,Breathing Fear,14,106,88.33%,80.18%
2803,261640,Borderlands: The Pre-Sequel,"2,937","12,438",80.90%,80.18%
2804,326840,Heart&Slash,38,227,85.66%,80.17%
2805,252470,Space Pirates and Zombies 2,209,"1,002",82.74%,80.17%
2806,278890,Angvik,93,484,83.88%,80.16%
2807,218090,Unity of Command,81,429,84.12%,80.16%
2808,420930,CHKN,43,251,85.37%,80.16%
2809,416110,Blitz Breaker,7,67,90.54%,80.15%
2810,4870,Cossacks: Art of War,10,84,89.36%,80.14%
2811,246960,Giana Sisters: Twisted Dreams - Rise of the Owlverlord,40,236,85.51%,80.12%
2812,528580,Found,6,61,91.04%,80.12%
2813,497850,8-Bit Hordes,49,279,85.06%,80.12%
2814,443630,Chicku,6,61,91.04%,80.12%
2815,406970,The Uncertain: Episode 1 - The Last Quiet Day,92,478,83.86%,80.11%
2816,509110,Spikit,32,197,86.03%,80.11%
2817,339160,Tales of the Orient: The Rising Sun,43,250,85.32%,80.10%
2818,65720,Arma 2: Private Military Company,30,187,86.18%,80.10%
2819,269250,WORLD END ECONOMiCA episode.01,69,372,84.35%,80.09%
2820,409380,Among the Heavens,29,182,86.26%,80.09%
2821,264220,Mr. Bree+,29,182,86.26%,80.09%
2822,365960,rFactor 2,93,482,83.83%,80.09%
2823,253350,Tiny Barbarian DX,25,162,86.63%,80.09%
2824,61520,Age of Wonders: Shadow Magic,25,162,86.63%,80.09%
2825,211360,Offspring Fling!,81,427,84.06%,80.08%
2826,219200,Droid Assault,42,245,85.37%,80.08%
2827,2640,Call of Duty: United Offensive,63,344,84.52%,80.08%
2828,311720,Sproggiwood,46,264,85.16%,80.08%
2829,422860,Holodance,9,78,89.66%,80.05%
2830,6400,Joint Task Force,9,78,89.66%,80.05%
2831,355530,Last Word,34,206,85.83%,80.05%
2832,9940,Blade Kitten,129,642,83.27%,80.04%
2833,434260,My Name is Mayo,355,"1,622",82.04%,80.03%
2834,22300,Fallout 3,"1,796","7,632",80.95%,80.03%
2835,237430,Expeditions: Conquistador,161,783,82.94%,80.03%
2836,485350,Winter Novel,47,268,85.08%,80.03%
2837,505170,Carmageddon: Max Damage,162,787,82.93%,80.02%
2838,70640,Worms,42,244,85.31%,80.01%
2839,19800,Brothers in Arms: Earned in Blood,28,176,86.27%,80.00%
2840,434020,Last Hope - Tower Defense,27,171,86.36%,79.99%
2841,262690,Little Racers STREET,112,564,83.43%,79.98%
2842,478980,Mansions of Madness,12,94,88.68%,79.97%
2843,266230,Last Dream,59,323,84.55%,79.96%
2844,454140,First Person Tennis - The Real Tennis Simulator,3,42,93.33%,79.96%
2845,585880,Once on a windswept night,3,42,93.33%,79.96%
2846,443380,Tokyo Babel,3,42,93.33%,79.96%
2847,379760,Gravity Error,3,42,93.33%,79.96%
2848,517350,Squareface,3,42,93.33%,79.96%
2849,475190,Scanner Sombre,32,195,85.90%,79.95%
2850,393430,Ice Lakes,41,238,85.30%,79.93%
2851,427820,Hitman GO: Definitive Edition,79,414,83.98%,79.93%
2852,547980,Equin: The Lantern,0,20,100%,79.92%
2853,381940,Trials on Tatooine,156,756,82.89%,79.92%
2854,509160,Gebub's Adventure,0,20,100%,79.92%
2855,456130,Space Scaven,0,20,100%,79.92%
2856,341730,Dustoff Heli Rescue,44,252,85.14%,79.92%
2857,611960,Pilam Sky,0,20,100%,79.92%
2858,525150,Space Fuss,0,20,100%,79.92%
2859,407110,Swarm Universe,0,20,100%,79.92%
2860,497420,Pixelscape: Oceans,0,20,100%,79.92%
2861,266250,Procyon,13,99,88.39%,79.91%
2862,322750,Drifting Lands,19,130,87.25%,79.89%
2863,371100,Waste Walkers,19,130,87.25%,79.89%
2864,410340,Liftoff,67,358,84.24%,79.88%
2865,90200,Farming Simulator 2011,51,284,84.78%,79.87%
2866,369270,Megatect,1,28,96.55%,79.86%
2867,550990,"Viktor, a Steampunk Adventure",1,28,96.55%,79.86%
2868,262240,Suguri,14,104,88.14%,79.86%
2869,441510,The Incredible Baron,1,28,96.55%,79.86%
2870,450140,Seven Kingdoms: Ancient Adversaries,1,28,96.55%,79.86%
2871,385690,Wave Mechanics,1,28,96.55%,79.86%
2872,538880,Triennale Game Collection,1,28,96.55%,79.86%
2873,360850,Electric Circuit,1,28,96.55%,79.86%
2874,573520,Crowtel Renovations,1,28,96.55%,79.86%
2875,468240,VR Regatta - The Sailing Game,1,28,96.55%,79.86%
2876,470760,Antiflux,1,28,96.55%,79.86%
2877,449450,SPLIT BULLET,1,28,96.55%,79.86%
2878,37000,The Void,85,439,83.78%,79.85%
2879,513610,Madrobot X,6,60,90.91%,79.84%
2880,476460,Picross Touch,43,246,85.12%,79.83%
2881,220460,Cargo Commander,120,594,83.19%,79.83%
2882,377880,Eternal Destiny,15,109,87.90%,79.83%
2883,551730,Toukiden 2,115,572,83.26%,79.83%
2884,31700,Iron Grip: Warlord,51,283,84.73%,79.81%
2885,520910,Kokurase - Episode 1,2,35,94.59%,79.80%
2886,448080,Fibbage XL,2,35,94.59%,79.80%
2887,381320,Bezier,2,35,94.59%,79.80%
2888,370050,Scarab Tales,2,35,94.59%,79.80%
2889,599460,Weapon Shop Fantasy,108,540,83.33%,79.80%
2890,433910,Neon Drive,79,410,83.84%,79.77%
2891,504400,Optika,18,124,87.32%,79.77%
2892,524640,Asura,54,296,84.57%,79.76%
2893,505730,Holy Potatoes! We’re in Space?!,20,134,87.01%,79.76%
2894,613730,Need For Drink,51,282,84.68%,79.75%
2895,313630,The Solus Project,317,"1,434",81.90%,79.74%
2896,342280,Manyland,13,98,88.29%,79.74%
2897,339570,Enemy,13,98,88.29%,79.74%
2898,492710,VR Ping Pong,13,98,88.29%,79.74%
2899,331460,Rooms: The Unsolvable Puzzle,8,71,89.87%,79.74%
2900,234080,Castlevania: Lords of Shadow - Ultimate Edition,714,"3,084",81.20%,79.74%
2901,269210,Hero Siege,"2,728","11,254",80.49%,79.73%
2902,357310,Oriental Empires,99,498,83.42%,79.73%
2903,392470,NOBUNAGA'S AMBITION: Sphere of Influence,62,332,84.26%,79.72%
2904,295790,Never Alone (Kisima Ingitchuna),976,"4,155",80.98%,79.72%
2905,209630,Magrunner: Dark Pulse,37,216,85.38%,79.71%
2906,531640,Eternal Card Game,296,"1,343",81.94%,79.71%
2907,72200,Universe Sandbox,515,"2,257",81.42%,79.71%
2908,34010,Alpha Protocol,552,"2,411",81.37%,79.71%
2909,460700,Song of the Deep,61,327,84.28%,79.70%
2910,414190,Junk Jack,27,168,86.15%,79.70%
2911,319400,Disney Winnie the Pooh,14,103,88.03%,79.70%
2912,221040,Resident Evil 6 / Biohazard 6,"2,512","10,365",80.49%,79.70%
2913,360870,Ultimate Tic-Tac-Toe,206,960,82.33%,79.69%
2914,398100,Highschool Romance,65,345,84.15%,79.69%
2915,503560,911 Operator,364,"1,624",81.69%,79.67%
2916,65710,Pat & Mat,42,239,85.05%,79.67%
2917,294650,Putt-Putt Goes to the Moon,7,65,90.28%,79.64%
2918,447200,The Men of Yoshiwara: Ohgiya,7,65,90.28%,79.64%
2919,211400,Deadlight,"2,023","8,359",80.51%,79.63%
2920,281860,RefleX,21,138,86.79%,79.63%
2921,293880,Dark Scavenger,20,133,86.93%,79.63%
2922,296010,NeonXSZ,9,76,89.41%,79.62%
2923,465280,Yesterday Origins,9,76,89.41%,79.62%
2924,469730,Super Mega Neo Pug,77,397,83.76%,79.61%
2925,253900,Knights and Merchants,415,"1,828",81.50%,79.59%
2926,201420,Toki Tori 2+,123,598,82.94%,79.58%
2927,368730,No Time To Explain Remastered,270,"1,223",81.92%,79.58%
2928,17710,Nuclear Dawn,338,"1,507",81.68%,79.58%
2929,312840,Fahrenheit: Indigo Prophecy Remastered,305,"1,370",81.79%,79.58%
2930,296240,The Promised Land,68,356,83.96%,79.57%
2931,301150,The Treasures of Montezuma 4,46,256,84.77%,79.57%
2932,312750,FINAL FANTASY IV,133,641,82.82%,79.57%
2933,409440,SnakEscape,6,59,90.77%,79.56%
2934,446030,Corroded,3,41,93.18%,79.55%
2935,312520,Rain World,90,453,83.43%,79.55%
2936,331750,WALL E,3,41,93.18%,79.55%
2937,416530,Tacopocalypse,3,41,93.18%,79.55%
2938,346090,I Can't Escape: Darkness,3,41,93.18%,79.55%
2939,575940,The Tenth Line,3,41,93.18%,79.55%
2940,456430,Christmas Adventure: Candy Storm,14,102,87.93%,79.53%
2941,451570,Demetrios - The BIG Cynical Adventure,10,81,89.01%,79.53%
2942,356260,Stalingrad,14,102,87.93%,79.53%
2943,358960,Canabalt,21,137,86.71%,79.51%
2944,70620,Worms Crazy Golf,71,368,83.83%,79.51%
2945,553790,Once in Yaissor,51,278,84.50%,79.51%
2946,438080,Surfingers,67,350,83.93%,79.50%
2947,525780,Doorways: Old Prototype,46,255,84.72%,79.50%
2948,8260,Sam & Max 201: Ice Station Santa,5,53,91.38%,79.50%
2949,242840,In Verbis Virtus,180,839,82.34%,79.50%
2950,510620,THOTH,19,127,86.99%,79.50%
2951,555400,Collision Course,8,70,89.74%,79.50%
2952,373610,Shoot 1UP,4,47,92.16%,79.48%
2953,514890,Super Jagua,4,47,92.16%,79.48%
2954,257730,Infinity Wars - Animated Trading Card Game,584,"2,508",81.11%,79.48%
2955,416590,Emily Wants To Play,145,689,82.61%,79.48%
2956,9070,DOOM 3: Resurrection of Evil,41,231,84.93%,79.43%
2957,364050,Face It - A game to fight inner demons,195,898,82.16%,79.42%
2958,490820,Fly O'Clock,35,203,85.29%,79.42%
2959,268050,The Evil Within,"1,646","6,754",80.40%,79.42%
2960,345350,LIGHTNING RETURNS: FINAL FANTASY XIII,385,"1,686",81.41%,79.42%
2961,394360,Hearts of Iron IV,"2,375","9,628",80.21%,79.39%
2962,330720,Flashpoint Campaigns: Red Storm,9,75,89.29%,79.39%
2963,426000,HunieCam Studio,428,"1,858",81.28%,79.38%
2964,419480,Starpoint Gemini Warlords,134,638,82.64%,79.38%
2965,277430,Halo: Spartan Assault,622,"2,645",80.96%,79.37%
2966,207040,Sine Mora,148,697,82.49%,79.36%
2967,492150,MyWorld - Action RPG Maker,19,126,86.90%,79.36%
2968,216890,Blood Bowl: Chaos Edition,226,"1,023",81.91%,79.34%
2969,415880,Disc Jam,51,275,84.36%,79.33%
2970,285920,TerraTech,532,"2,273",81.03%,79.32%
2971,612110,Sweet fantasy,10,80,88.89%,79.32%
2972,399140,Straima,2,34,94.44%,79.31%
2973,280,Half-Life: Source,583,"2,478",80.95%,79.31%
2974,372030,Starship Rubicon,2,34,94.44%,79.31%
2975,327310,The Marvellous Miss Take,34,197,85.28%,79.31%
2976,234160,Strike Suit Infinity,83,416,83.37%,79.30%
2977,277490,Battle Group 2,56,297,84.14%,79.30%
2978,351250,Avalanche 2: Super Avalanche,22,140,86.42%,79.28%
2979,221540,Defense Grid 2,320,"1,407",81.47%,79.28%
2980,22130,Hearts of Iron II: Complete,26,159,85.95%,79.27%
2981,532270,Lethal VR,6,58,90.63%,79.27%
2982,453990,Mibibli's Quest,1,27,96.43%,79.25%
2983,559960,Power Hover,1,27,96.43%,79.25%
2984,548330,Wheely,1,27,96.43%,79.25%
2985,494100,ENIGMA:,1,27,96.43%,79.25%
2986,434820,Brushwood Buddies,1,27,96.43%,79.25%
2987,444170,Unhack 2,1,27,96.43%,79.25%
2988,383100,Fragile Allegiance,1,27,96.43%,79.25%
2989,317030,Fatty Bear's Birthday Surprise,8,69,89.61%,79.25%
2990,290890,You Must Build A Boat,96,471,83.07%,79.25%
2991,513780,Turbo Pug DX,52,278,84.24%,79.24%
2992,355920,Pixel Puzzles 2: Space,19,125,86.81%,79.23%
2993,529110,Awkward Dimensions Redux,366,"1,590",81.29%,79.23%
2994,242880,"Sir, You Are Being Hunted",601,"2,536",80.84%,79.22%
2995,428880,The Quest,28,168,85.71%,79.22%
2996,58560,Runaway: A Twist of Fate,24,149,86.13%,79.21%
2997,633130,Nongünz,18,120,86.96%,79.21%
2998,402570,Atlas Reactor,738,"3,082",80.68%,79.21%
2999,337270,Ostrich Island,27,163,85.79%,79.19%
3000,40380,Nail'd,175,802,82.09%,79.18%
3001,311480,Vertical Drop Heroes HD,112,537,82.74%,79.17%
3002,509250,TO THE TOP,9,74,89.16%,79.16%
3003,426930,Moonshot,9,74,89.16%,79.16%
3004,235540,Warhammer: End Times - Vermintide,"2,665","10,622",79.94%,79.15%
3005,390660,Call of Tomsk-7,79,395,83.33%,79.15%
3006,236730,Anomaly 2,82,408,83.27%,79.15%
3007,224500,Gnomoria,569,"2,397",80.82%,79.14%
3008,493080,Card Quest,3,40,93.02%,79.13%
3009,514090,Beautiful Japanese Scenery - Animated Jigsaws,3,40,93.02%,79.13%
3010,60,Ricochet,439,"1,874",81.02%,79.13%
3011,464080,Kyoto Colorful Days,4,46,92.00%,79.12%
3012,557890,Sunset's Ashes,4,46,92.00%,79.12%
3013,435800,Binaries,4,46,92.00%,79.12%
3014,418360,Gurgamoth,4,46,92.00%,79.12%
3015,435250,Deadhunt,4,46,92.00%,79.12%
3016,391250,Alien Robot Monsters,7,63,90.00%,79.11%
3017,432190,Chef Solitaire: USA,7,63,90.00%,79.11%
3018,318230,Convoy,113,539,82.67%,79.10%
3019,270630,Haunt the House: Terrortown,159,732,82.15%,79.10%
3020,292990,Nobunaga's Ambition: Souzou,40,222,84.73%,79.10%
3021,464400,Bounce,0,19,100%,79.09%
3022,356460,Drive!Drive!Drive!,0,19,100%,79.09%
3023,408170,Networm,0,19,100%,79.09%
3024,222420,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,133,623,82.41%,79.09%
3025,559930,Causality,0,19,100%,79.09%
3026,499910,SHINRAI - Broken Beyond Despair,0,19,100%,79.09%
3027,490100,Quell Zen,0,19,100%,79.09%
3028,606480,Flood of Light,0,19,100%,79.09%
3029,337650,Soft Body,0,19,100%,79.09%
3030,244430,realMyst: Masterpiece Edition,77,385,83.33%,79.09%
3031,612520,Sudden Strike 2 Gold,0,19,100%,79.09%
3032,17080,Tribes: Ascend,"1,546","6,231",80.12%,79.09%
3033,569360,Pivot Pilot,0,19,100%,79.09%
3034,613420,BOROS,0,19,100%,79.09%
3035,512460,Drunk On Nectar,0,19,100%,79.09%
3036,639270,Operation Warcade VR,0,19,100%,79.09%
3037,611780,Across The Moment,0,19,100%,79.09%
3038,553760,Einlanzer,0,19,100%,79.09%
3039,377190,Pale Echoes,0,19,100%,79.09%
3040,615010,Runic Rampage,0,19,100%,79.09%
3041,263560,Paper Sorcerer,81,402,83.23%,79.08%
3042,391270,Fingerbones,517,"2,181",80.84%,79.08%
3043,307110,We Need to Go Deeper,85,419,83.13%,79.07%
3044,326410,Windward,414,"1,765",81.00%,79.05%
3045,321560,The Sun and Moon,17,114,87.02%,79.05%
3046,252170,Anomaly Warzone Earth Mobile Campaign,48,257,84.26%,79.04%
3047,39680,The Guild II: Renaissance,302,"1,313",81.30%,79.03%
3048,302490,Ballad of Solar,14,99,87.61%,79.03%
3049,203350,King's Bounty: Warriors of the North,120,566,82.51%,79.02%
3050,91800,Cloning Clyde,8,68,89.47%,79.00%
3051,449060,Cellar,8,68,89.47%,79.00%
3052,55140,MX vs. ATV Reflex,299,"1,297",81.27%,78.98%
3053,382090,Dungeon Nightmares II : The Memory,20,128,86.49%,78.98%
3054,345860,Super Galaxy Squadron EX Turbo,24,147,85.96%,78.98%
3055,415270,Star Crusade CCG,308,"1,333",81.23%,78.98%
3056,4800,Heroes of Annihilated Empires,27,161,85.64%,78.98%
3057,239660,Soldier Front 2,394,"1,676",80.97%,78.96%
3058,307590,Penarium,34,193,85.02%,78.96%
3059,3020,Call of Juarez,108,513,82.61%,78.94%
3060,377160,Fallout 4,"20,366","77,650",79.22%,78.93%
3061,35320,Insane 2,52,273,84.00%,78.93%
3062,254880,MoonBase Commander,9,73,89.02%,78.93%
3063,495720,Intrude,9,73,89.02%,78.93%
3064,442070,Drawful 2,18,118,86.76%,78.93%
3065,528550,Drunkn Bar Fight,18,118,86.76%,78.93%
3066,415400,Cross Set,22,137,86.16%,78.91%
3067,314160,Microsoft Flight Simulator X: Steam Edition,"1,579","6,286",79.92%,78.89%
3068,339120,Fork Parker's Holiday Profit Hike,102,486,82.65%,78.88%
3069,321410,Command: Modern Air / Naval Operations WOTY,49,259,84.09%,78.88%
3070,25600,Eschalon: Book 1,16,108,87.10%,78.88%
3071,578310,BRAIN / OUT,812,"3,311",80.31%,78.88%
3072,392940,Epic Quest of the 4 Crystals,16,108,87.10%,78.88%
3073,331390,Winged Sakura: Mindy's Arc,16,108,87.10%,78.88%
3074,39500,Gothic 3,451,"1,893",80.76%,78.87%
3075,302130,Brink of Consciousness: Dorian Gray Syndrome,27,160,85.56%,78.87%
3076,449040,Jesus Christ RPG Trilogy,170,767,81.86%,78.87%
3077,381100,The Men of Yoshiwara: Kikuya,24,146,85.88%,78.86%
3078,23310,The Last Remnant,544,"2,258",80.59%,78.86%
3079,324080,Rising World,429,"1,805",80.80%,78.86%
3080,462000,Cyberpong,12,88,88.00%,78.85%
3081,644540,Dies irae ~Amantes amentes~,14,98,87.50%,78.85%
3082,516430,Ruin of the Reckless,5,51,91.07%,78.84%
3083,416240,Space Impossible,5,51,91.07%,78.84%
3084,561340,Merlin adventurer store,5,51,91.07%,78.84%
3085,378850,Galagan's Island: Reprymian Rising,7,62,89.86%,78.83%
3086,32640,Delta Force: Land Warrior,7,62,89.86%,78.83%
3087,480430,Hide and Shriek,104,493,82.58%,78.83%
3088,61500,Age of Wonders,46,245,84.19%,78.82%
3089,252370,The Shivah,86,417,82.90%,78.82%
3090,445230,Lost girl`s [diary],145,662,82.03%,78.81%
3091,602120,Molemen Must Die!,2,33,94.29%,78.80%
3092,562480,Corona Blossom Vol.3 Journey to the Stars,2,33,94.29%,78.80%
3093,458380,Gahkthun of the Golden Lightning Steam Edition,2,33,94.29%,78.80%
3094,552060,Escape!VR -The Basement-,2,33,94.29%,78.80%
3095,410840,Rock God Tycoon,18,117,86.67%,78.78%
3096,335190,200% Mixed Juice!,38,209,84.62%,78.78%
3097,252010,Oniken,102,483,82.56%,78.77%
3098,265170,Acceleration of Suguri X-Edition,27,159,85.48%,78.76%
3099,268420,Aura Kingdom,"1,184","4,723",79.96%,78.76%
3100,34410,Death to Spies: Moment of Truth,39,213,84.52%,78.75%
3101,421740,Goetia,24,145,85.80%,78.75%
3102,296300,Ballistic Overkill,724,"2,945",80.27%,78.75%
3103,461170,Bucket Detective,8,67,89.33%,78.74%
3104,21000,LEGO Batman: The Videogame,137,626,82.04%,78.72%
3105,444590,Shrouded in Sanity,16,107,86.99%,78.72%
3106,307070,Memories of a Vagabond,157,707,81.83%,78.71%
3107,400180,Okhlos: Omega,85,410,82.83%,78.70%
3108,25890,Hearts of Iron III,683,"2,777",80.26%,78.70%
3109,606510,Grisaia Phantom Trigger Vol.1,3,39,92.86%,78.70%
3110,357890,Vortex Attack,3,39,92.86%,78.70%
3111,589510,Shovel Knight: Specter of Torment,3,39,92.86%,78.70%
3112,318480,Burnstar,3,39,92.86%,78.70%
3113,265590,The Red Solstice,192,848,81.54%,78.69%
3114,489460,The Last Leviathan,61,308,83.47%,78.69%
3115,238090,Sniper Elite 3,"2,321","9,028",79.55%,78.69%
3116,313740,Sakura Spirit,"1,479","5,829",79.76%,78.69%
3117,457480,Domino Sky,15,102,87.18%,78.69%
3118,288930,The Charnel House Trilogy,59,299,83.52%,78.67%
3119,337490,Four Sided Fantasy,10,77,88.51%,78.66%
3120,414720,Astrox: Hostile Space Excavation,37,203,84.58%,78.66%
3121,517370,Tavernier,6,56,90.32%,78.66%
3122,394550,Gunman Clive 2,6,56,90.32%,78.66%
3123,295750,The Floor is Jelly,42,225,84.27%,78.65%
3124,347940,Forsaken Isle,35,194,84.72%,78.65%
3125,432010,World's Dawn,51,264,83.81%,78.63%
3126,466170,Idling to Rule the Gods,51,264,83.81%,78.63%
3127,407060,AltspaceVR,43,229,84.19%,78.62%
3128,409450,The Fall of the Dungeon Guardians,43,229,84.19%,78.62%
3129,339200,Oceanhorn: Monster of Uncharted Seas,235,"1,016",81.22%,78.62%
3130,489720,Conga Master,1,26,96.30%,78.61%
3131,33770,Drakensang The River of Time,21,130,86.09%,78.61%
3132,457230,Atlas Reactor VR Character Viewer,1,26,96.30%,78.61%
3133,263200,Signs of Life,93,441,82.58%,78.61%
3134,498470,Switch 'N' Shoot,1,26,96.30%,78.61%
3135,548840,A Rose in the Twilight,1,26,96.30%,78.61%
3136,449180,Meld,1,26,96.30%,78.61%
3137,223000,7 Wonders: Ancient Alien Makeover,17,111,86.72%,78.59%
3138,385380,Planet Centauri,98,461,82.47%,78.58%
3139,564530,Pharaoh + Cleopatra,20,125,86.21%,78.57%
3140,215710,Fieldrunners 2,46,241,83.97%,78.54%
3141,454060,Blueprint Tycoon,129,587,81.98%,78.54%
3142,488300,Infinite Air with Mark McMorris,22,134,85.90%,78.53%
3143,294460,Fenix Rage,19,120,86.33%,78.52%
3144,635310,Ski Sniper,5,50,90.91%,78.49%
3145,446810,Blossom Tales: The Sleeping King,5,50,90.91%,78.49%
3146,283840,ALLTYNEX Second,8,66,89.19%,78.48%
3147,566530,Mass Exodus,8,66,89.19%,78.48%
3148,468490,Neon Space,46,240,83.92%,78.47%
3149,402260,Dead Secret,40,214,84.25%,78.47%
3150,301460,Electronic Super Joy: Groove City,102,474,82.29%,78.45%
3151,383960,Machina of the Planet Tree -Planet Ruler-,9,71,88.75%,78.45%
3152,332310,LEGO® Worlds,"2,136","8,213",79.36%,78.45%
3153,368800,Apocalypse: Party's Over,12,86,87.76%,78.44%
3154,347720,Soda Drinker Pro,12,86,87.76%,78.44%
3155,330580,Shark Attack Deathmatch 2,206,891,81.22%,78.44%
3156,344440,Sacra Terra: Angelic Night,20,124,86.11%,78.43%
3157,329320,QbQbQb,10,76,88.37%,78.43%
3158,385240,Ultimate Arena,138,619,81.77%,78.42%
3159,243450,Urban Trial Freestyle,265,"1,122",80.89%,78.42%
3160,527290,Atelier Firis: The Alchemist and the Mysterious Journey,39,209,84.27%,78.42%
3161,323580,Jotun,282,"1,188",80.82%,78.41%
3162,92210,Hitogata Happa,22,133,85.81%,78.40%
3163,282530,Castlevania: Lords of Shadow – Mirror of Fate HD,128,578,81.87%,78.40%
3164,293740,Road Not Taken,43,226,84.01%,78.39%
3165,397690,Hyperspace Invaders II: Pixel Edition,54,273,83.49%,78.38%
3166,498660,Mind Spheres,33,182,84.65%,78.36%
3167,6250,Making History: The Calm & The Storm,86,406,82.52%,78.36%
3168,232010,Euro Truck Simulator,497,"2,012",80.19%,78.35%
3169,60350,Glowfish,4,44,91.67%,78.34%
3170,534500,Tiger Knight: Empire War,"1,586","6,109",79.39%,78.34%
3171,415670,Highrise Heroes: Word Challenge,4,44,91.67%,78.34%
3172,278420,Spider: Rite of the Shrouded Moon,6,55,90.16%,78.34%
3173,533120,VCB: Why City,105,483,82.14%,78.33%
3174,364470,The Elder Scrolls: Legends,461,"1,872",80.24%,78.33%
3175,268500,XCOM 2,"4,333","16,277",78.98%,78.33%
3176,393380,Squad,"3,245","12,251",79.06%,78.32%
3177,396230,VERSUS: The Lost Ones,23,137,85.63%,78.32%
3178,239120,FINAL FANTASY III,182,790,81.28%,78.31%
3179,327260,Life of Pixel,43,225,83.96%,78.31%
