,app_id,app_name,neg,pos,steam_score,wilson
99,373390,Contradiction - the all-video murder mystery adventure,33,"1,220",97.37%,96.15%
100,55230,Saints Row: The Third,"1,312","34,837",96.37%,96.14%
101,370360,TIS-100,56,"1,880",97.11%,96.12%
102,207690,Botanicula,82,"2,604",96.95%,96.11%
103,451760,Highway Blossoms,6,359,98.36%,96.08%
104,246420,Kingdom Rush,140,"4,137",96.73%,96.06%
105,35720,Trine 2,505,"13,631",96.43%,96.06%
106,496920,Moirai,421,"11,434",96.45%,96.05%
107,322170,Geometry Dash,"1,358","34,996",96.26%,96.04%
108,287980,Mini Metro,161,"4,661",96.66%,96.03%
109,236090,Dust: An Elysian Tail,513,"13,700",96.39%,96.02%
110,251370,Escape Goat,11,517,97.92%,96.01%
111,458710,Kingdom Rush Frontiers,35,"1,228",97.23%,95.99%
112,373770,LiEat,43,"1,450",97.12%,95.98%
113,238320,Outlast,"1,083","27,747",96.24%,95.98%
114,385250,Paint it Back,3,242,98.78%,95.95%
115,365720,Skyrim Script Extender (SKSE),10,476,97.94%,95.93%
116,304410,Hexcells Infinite,40,"1,343",97.11%,95.91%
117,387290,Ori and the Blind Forest: Definitive Edition,210,"5,747",96.47%,95.90%
118,559210,Rakuen,3,238,98.76%,95.89%
119,113200,The Binding of Isaac,"1,641","40,385",96.10%,95.88%
120,242680,Nuclear Throne,297,"7,869",96.36%,95.87%
121,41050,Serious Sam Classic: The First Encounter,28,994,97.26%,95.86%
122,239030,"Papers, Please",753,"18,879",96.16%,95.85%
123,280220,Creeper World 3: Arc Eternal,56,"1,747",96.89%,95.84%
124,460120,Megadimension Neptunia VII,47,"1,506",96.97%,95.84%
125,1250,Killing Floor,"1,883","45,561",96.03%,95.83%
126,504210,SHENZHEN I/O,28,986,97.24%,95.83%
127,434570,Blood and Bacon,397,"10,190",96.25%,95.81%
128,265610,Epic Battle Fantasy 4,53,"1,650",96.89%,95.80%
129,391540,Undertale,"3,291","77,724",95.94%,95.78%
130,224820,Super House of Dead Ninjas,31,"1,053",97.14%,95.77%
131,291860,Pit People,103,"2,910",96.58%,95.76%
132,236930,Blackwell Epiphany,8,394,98.01%,95.76%
133,251290,The Legend of Heroes: Trails in the Sky SC,20,744,97.38%,95.75%
134,203160,Tomb Raider,"2,722","63,849",95.91%,95.74%
135,257510,The Talos Principle,505,"12,502",96.12%,95.72%
136,530350,Smashbox Arena,6,326,98.19%,95.70%
137,4000,Garry's Mod,"12,061","274,199",95.79%,95.70%
138,318130,Doom & Destiny,34,"1,110",97.03%,95.68%
